match_id,formation_x,formation_y
b13970b2,4-2-3-1,4-2-3-1
7fa19f7c,3-1-4-2,3-1-4-2
09cec3e9,4-4-2,4-4-2
10673af1,4-2-3-1,4-3-2-1
f65cd7dc,4-2-3-1,4-2-3-1
0339770e,4-4-2,4-4-2
c516f9b3,3-5-2,4-2-2-2
a3858878,3-4-3,3-1-4-2
4fbf64fe,4-4-2,4-2-3-1
4fc1a614,4-4-2,4-2-3-1
400d3616,3-4-3,4-2-3-1
3bf149af,3-3-2-2,3-4-3
9b3e6ab4,3-1-4-2,4-2-3-1
3d33cbcd,4-1-4-1,4-4-2
9992229f,3-5-2,4-2-3-1
5734149b,4-1-2-3,4-2-3-1
cd7718be,4-2-2-2,3-4-3
5abf775e,4-3-3,3-4-3
1e115c1f,4-2-3-1,4-2-2-2
9a77b60b,4-4-2,3-1-4-2
57753c8c,3-4-3,3-4-3
3d2c38ea,3-4-1-2,4-1-4-1
7e929ab2,4-2-3-1,4-4-2
d284fd39,4-4-2,4-3-3
fe417870,3-1-4-2,4-2-3-1
33d3ec46,4-2-3-1,3-1-4-2
885af087,3-4-3,3-4-3
5fb323e0,4-2-3-1,4-2-3-1
a10cf572,4-4-2,5-4-1
b8a1c45e,3-1-4-2,3-4-3
198facdd,3-5-2,3-5-2
a357fa5b,3-1-4-2,4-2-3-1
634c5128,4-4-2,4-4-2
ff315c8d,3-5-2,4-2-3-1
abc12d71,4-4-2,4-4-1-1
52c8c028,4-3-3,4-1-4-1
677887ea,4-4-2,3-4-3
e2e4d8fb,4-2-3-1,3-3-2-2
17ceb358,3-4-3,4-2-3-1
19965925,4-3-1-2(d),4-2-2-2
cc1da234,4-4-2,4-2-3-1
2fac1858,4-3-3,4-3-2-1
6c5cd8f0,4-2-3-1,4-4-2
19006b59,3-4-3,4-3-2-1
391ecf44,3-4-3,3-1-4-2
8869577c,4-2-3-1,4-1-4-1
e6cd2359,4-2-2-2,5-2-3
43ae7d98,3-1-4-2,3-4-3
7870c975,3-1-4-2,5-2-3
be29160b,3-4-3,3-4-3
792d9b4c,3-4-3,4-2-3-1
af09c719,4-3-2-1,4-4-2
b2677d90,4-4-2,3-1-4-2
8251a762,4-2-3-1,4-3-3
b288b705,3-4-3,4-2-3-1
c1f54533,4-2-3-1,4-3-2-1
9476d8c6,4-4-2,4-1-4-1
c8d12e7f,4-2-3-1,3-4-3
03077c02,4-2-3-1,4-3-2-1
02c85a2b,4-2-3-1,3-5-2
666c9723,3-4-3,4-3-3
11ff6012,4-4-1-1,4-4-2
4d9b3ce4,4-4-2,4-2-2-2
668679f5,3-4-3,4-4-2
095914c6,4-2-3-1,3-2-3-2
8896204e,4-5-1,3-4-3
eb296f2f,4-2-3-1,4-2-3-1
60363d4c,4-4-2,3-5-2
deab105c,3-2-3-2,3-4-3
1d76907c,4-3-2-1,4-4-2
496c7fb4,4-2-3-1,4-3-3
ed39bd88,3-1-4-2,4-4-2
ab9a62e5,3-1-4-2,3-4-3
bcbf5b3f,4-2-2-2,3-4-3
8d9c9591,4-2-3-1,4-2-2-2
