,match_stats_key,match_id,possession_x,possession_y,fouls_x,fouls_y,corners_x,corners_y,crosses_x,crosses_y,touches_x,touches_y,tackles_x,tackles_y,interceptions_x,interceptions_y,aerials_won_x,aerials_won_y,clearances_x,clearances_y,offsides_x,offsides_y,goal_kicks_x,goal_kicks_y,throw_ins_x,throw_ins_y,long_balls_x,long_balls_y
0,0,b13970b2,0.51,0.49,14.0,18.0,4.0,5.0,13.0,13.0,621.0,590.0,12.0,13.0,9.0,2.0,6.0,3.0,11.0,11.0,4.0,1.0,4.0,5.0,19.0,9.0,62.0,55.0
1,1,7fa19f7c,0.63,0.37,18.0,19.0,6.0,4.0,11.0,6.0,776.0,503.0,9.0,25.0,6.0,11.0,2.0,2.0,4.0,16.0,3.0,2.0,3.0,8.0,22.0,14.0,56.0,59.0
2,2,09cec3e9,0.62,0.38,20.0,15.0,12.0,1.0,11.0,3.0,662.0,449.0,18.0,13.0,16.0,7.0,8.0,11.0,4.0,26.0,3.0,0.0,5.0,12.0,21.0,33.0,66.0,58.0
3,3,10673af1,0.3,0.7,8.0,15.0,3.0,5.0,4.0,7.0,407.0,780.0,17.0,13.0,9.0,8.0,4.0,13.0,17.0,7.0,7.0,0.0,7.0,2.0,23.0,30.0,79.0,81.0
4,4,f65cd7dc,0.36,0.64,22.0,18.0,3.0,7.0,6.0,24.0,456.0,676.0,18.0,16.0,6.0,5.0,34.0,31.0,53.0,33.0,0.0,1.0,9.0,3.0,22.0,35.0,60.0,68.0
5,5,0339770e,0.53,0.47,17.0,13.0,5.0,1.0,10.0,8.0,642.0,582.0,15.0,14.0,8.0,8.0,10.0,3.0,10.0,15.0,0.0,3.0,7.0,4.0,20.0,19.0,71.0,58.0
6,6,c516f9b3,0.38,0.62,22.0,18.0,4.0,4.0,10.0,14.0,488.0,729.0,14.0,9.0,7.0,4.0,3.0,9.0,18.0,14.0,4.0,4.0,6.0,3.0,14.0,24.0,76.0,29.0
7,7,a3858878,0.56,0.44,9.0,19.0,3.0,4.0,10.0,20.0,613.0,512.0,8.0,15.0,5.0,9.0,12.0,11.0,19.0,11.0,5.0,2.0,7.0,6.0,18.0,21.0,75.0,66.0
8,8,4fbf64fe,0.53,0.47,12.0,12.0,5.0,3.0,22.0,11.0,710.0,647.0,13.0,22.0,5.0,5.0,6.0,6.0,10.0,11.0,4.0,3.0,9.0,8.0,13.0,19.0,60.0,56.0
9,9,4fc1a614,0.7,0.3,9.0,11.0,6.0,7.0,20.0,4.0,704.0,362.0,10.0,15.0,2.0,14.0,6.0,5.0,9.0,17.0,6.0,3.0,3.0,15.0,18.0,19.0,67.0,63.0
10,10,400d3616,0.54,0.46,12.0,17.0,5.0,5.0,12.0,9.0,569.0,517.0,13.0,8.0,8.0,7.0,5.0,2.0,11.0,12.0,1.0,0.0,9.0,5.0,12.0,22.0,71.0,47.0
11,11,3bf149af,0.5,0.5,21.0,19.0,7.0,2.0,25.0,7.0,533.0,556.0,10.0,13.0,9.0,10.0,8.0,8.0,5.0,28.0,5.0,2.0,5.0,8.0,23.0,17.0,47.0,100.0
12,12,9b3e6ab4,0.29,0.71,11.0,11.0,2.0,8.0,7.0,17.0,425.0,871.0,16.0,14.0,15.0,5.0,9.0,5.0,22.0,6.0,0.0,0.0,10.0,3.0,14.0,23.0,60.0,75.0
13,13,3d33cbcd,0.53,0.47,12.0,12.0,10.0,0.0,20.0,5.0,592.0,560.0,12.0,6.0,8.0,3.0,3.0,4.0,7.0,25.0,1.0,1.0,10.0,7.0,12.0,17.0,74.0,71.0
14,14,9992229f,0.59,0.41,16.0,13.0,6.0,1.0,22.0,9.0,668.0,491.0,16.0,11.0,11.0,7.0,5.0,9.0,11.0,15.0,2.0,2.0,0.0,9.0,18.0,22.0,66.0,86.0
15,15,5734149b,0.66,0.34,13.0,14.0,4.0,4.0,10.0,8.0,792.0,466.0,15.0,10.0,10.0,10.0,6.0,6.0,5.0,17.0,4.0,5.0,3.0,6.0,19.0,20.0,61.0,63.0
16,16,cd7718be,0.67,0.33,9.0,11.0,7.0,2.0,8.0,5.0,759.0,426.0,10.0,16.0,16.0,2.0,8.0,4.0,3.0,16.0,2.0,1.0,2.0,12.0,28.0,18.0,71.0,68.0
17,17,5abf775e,0.48,0.52,18.0,18.0,2.0,6.0,5.0,19.0,568.0,602.0,10.0,12.0,12.0,6.0,3.0,3.0,13.0,6.0,1.0,0.0,7.0,7.0,17.0,23.0,52.0,68.0
18,18,1e115c1f,0.33,0.67,13.0,12.0,2.0,13.0,5.0,13.0,404.0,685.0,18.0,19.0,8.0,9.0,8.0,4.0,24.0,15.0,1.0,2.0,9.0,4.0,31.0,22.0,57.0,60.0
19,19,9a77b60b,0.68,0.32,18.0,19.0,13.0,4.0,17.0,13.0,711.0,404.0,9.0,14.0,6.0,4.0,4.0,7.0,8.0,22.0,4.0,3.0,1.0,10.0,18.0,22.0,70.0,55.0
20,20,57753c8c,0.38,0.62,18.0,16.0,2.0,3.0,9.0,12.0,475.0,684.0,16.0,18.0,15.0,3.0,9.0,7.0,9.0,11.0,0.0,2.0,4.0,6.0,25.0,28.0,57.0,54.0
21,21,3d2c38ea,0.49,0.51,15.0,21.0,3.0,1.0,12.0,9.0,590.0,594.0,15.0,10.0,12.0,4.0,15.0,9.0,15.0,13.0,1.0,2.0,4.0,4.0,20.0,25.0,76.0,61.0
22,22,7e929ab2,0.34,0.66,14.0,14.0,6.0,9.0,12.0,20.0,431.0,699.0,17.0,8.0,6.0,7.0,6.0,9.0,27.0,13.0,0.0,0.0,7.0,7.0,26.0,30.0,57.0,75.0
23,23,d284fd39,0.18,0.82,9.0,11.0,0.0,7.0,5.0,21.0,316.0,1036.0,10.0,6.0,9.0,1.0,0.0,4.0,35.0,3.0,1.0,1.0,21.0,4.0,10.0,21.0,68.0,45.0
24,24,fe417870,0.3,0.7,16.0,9.0,2.0,4.0,1.0,33.0,397.0,805.0,12.0,9.0,9.0,10.0,3.0,3.0,30.0,3.0,2.0,3.0,10.0,2.0,16.0,20.0,64.0,82.0
25,25,33d3ec46,0.53,0.47,10.0,13.0,5.0,7.0,12.0,14.0,629.0,575.0,15.0,17.0,8.0,7.0,7.0,12.0,8.0,15.0,3.0,2.0,4.0,3.0,26.0,21.0,87.0,74.0
26,26,885af087,0.39,0.61,14.0,20.0,2.0,0.0,9.0,16.0,536.0,783.0,13.0,4.0,6.0,7.0,16.0,3.0,14.0,5.0,2.0,3.0,6.0,7.0,13.0,13.0,58.0,64.0
27,27,5fb323e0,0.58,0.42,18.0,15.0,4.0,7.0,18.0,13.0,648.0,481.0,8.0,14.0,9.0,6.0,15.0,8.0,25.0,16.0,1.0,1.0,5.0,8.0,36.0,23.0,70.0,58.0
28,28,a10cf572,0.76,0.24,10.0,6.0,10.0,5.0,16.0,2.0,878.0,360.0,12.0,14.0,10.0,8.0,3.0,4.0,6.0,16.0,0.0,1.0,3.0,9.0,18.0,15.0,89.0,50.0
29,29,b8a1c45e,0.52,0.48,14.0,18.0,6.0,5.0,16.0,11.0,579.0,581.0,14.0,19.0,2.0,3.0,9.0,3.0,8.0,19.0,1.0,2.0,6.0,9.0,17.0,16.0,69.0,59.0
30,30,198facdd,0.45,0.55,13.0,19.0,2.0,3.0,12.0,7.0,543.0,630.0,13.0,13.0,9.0,6.0,3.0,7.0,6.0,8.0,5.0,2.0,9.0,1.0,16.0,8.0,68.0,57.0
31,31,a357fa5b,0.65,0.35,15.0,14.0,4.0,4.0,13.0,14.0,711.0,441.0,10.0,14.0,8.0,5.0,3.0,7.0,21.0,31.0,1.0,4.0,1.0,11.0,23.0,14.0,62.0,75.0
32,32,634c5128,0.52,0.48,12.0,13.0,3.0,2.0,13.0,9.0,672.0,627.0,21.0,26.0,2.0,19.0,2.0,5.0,14.0,6.0,3.0,1.0,6.0,2.0,20.0,23.0,46.0,74.0
33,33,ff315c8d,0.59,0.41,17.0,20.0,4.0,1.0,12.0,9.0,724.0,539.0,14.0,16.0,6.0,9.0,4.0,6.0,11.0,11.0,1.0,1.0,4.0,6.0,14.0,16.0,63.0,71.0
