match_id,referee,ar1,ar2,fourth,var
b13970b2,Tobias Stieler,Matthias Jöllenbeck,Christian Gittelmann,Martin Petersen,
7fa19f7c,Guido Winkmann,Christian Bandurski,Arno Blos,Robert Kempter,
09cec3e9,Felix Brych,Mark Borsch,Stefan Lupp,Christof Günsch,
10673af1,Robert Hartmann,Christian Leicher,Markus Schüller,Sven Jablonski,
f65cd7dc,Daniel Siebert,Lasse Koslowski,Jan Seidel,Thomas Gorniak,
0339770e,Sascha Stegemann,Christian Fischer,Mike Pickel,Florian Heft,
c516f9b3,Felix Zwayer,Thorsten Schiffner,Marco Achmüller,Benedikt Kempkes,
a3858878,Manuel Gräfe,Guido Kleve,Markus Sinn,Tobias Reichel,
4fbf64fe,Deniz Aytekin,Christian Dietz,Eduard Beitinger,Tobias Christ,
4fc1a614,Felix Brych,Mark Borsch,Stefan Lupp,Sören Storks,
400d3616,Benjamin Brand,Robert Schröder,Frederick Assmuth,Michael Emmer,
3bf149af,Benjamin Cortus,Daniel Schlager,Florian Badstübner,Eduard Beitinger,
9b3e6ab4,Bastian Dankert,René Rohde,Aarne Aarnink,Markus Schüller,
3d33cbcd,Sascha Stegemann,Christian Fischer,Mike Pickel,Tobias Reichel,
9992229f,Harm Osmers,Rafael Foltyn,Thomas Gorniak,Sven Waschitzki,
5734149b,Marco Fritz,Dominik Schaal,Marcel Pelgrim,Guido Winkmann,
cd7718be,Christian Dingert,Tobias Christ,Timo Gerach,Holger Henschel,
5abf775e,Patrick Ittrich,Norbert Grudzinski,Sascha Thielert,Martin Thomsen,
1e115c1f,Deniz Aytekin,Christian Dietz,Eduard Beitinger,Harm Osmers,
9a77b60b,Robert Kampka,Arno Blos,Thomas Gorniak,Timo Gerach,
57753c8c,Markus Schmidt,Thorben Siewer,Marcel Pelgrim,Dominik Schaal,
3d2c38ea,Felix Zwayer,Thorsten Schiffner,Marco Achmüller,Benjamin Brand,
7e929ab2,Tobias Stieler,Matthias Jöllenbeck,Christian Gittelmann,Patrick Alt,
d284fd39,Benjamin Cortus,Mark Borsch,Stefan Lupp,Florian Badstübner,
fe417870,Daniel Siebert,Lasse Koslowski,Sascha Thielert,Markus Sinn,
33d3ec46,Bibiana Steinhaus,Christof Günsch,Thomas Stein,Robert Schröder,
885af087,Frank Willenborg,Guido Kleve,Holger Henschel,Patrick Alt,
5fb323e0,Robert Hartmann,Christian Leicher,Markus Schüller,Martin Thomsen,
a10cf572,Sascha Stegemann,Christian Fischer,Mike Pickel,Patrick Alt,
b8a1c45e,Benjamin Brand,Frederick Assmuth,Jan Neitzel,Sven Waschitzki,
198facdd,Guido Winkmann,Christian Bandurski,Rafael Foltyn,Robert Kempter,
a357fa5b,Christian Dingert,Tobias Christ,Alexander Sather,Mark Borsch,
634c5128,Marco Fritz,Dominik Schaal,Thomas Stein,Bibiana Steinhaus,
ff315c8d,Markus Schmidt,Benedikt Kempkes,Markus Häcker,Christian Gittelmann,
abc12d71,Sven Jablonski,Holger Henschel,Thomas Gorniak,Aarne Aarnink,
52c8c028,Patrick Ittrich,Norbert Grudzinski,Marco Achmüller,Daniel Schlager,
677887ea,Sören Storks,Thorben Siewer,Christian Fischer,Frederick Assmuth,
e2e4d8fb,Felix Brych,Mark Borsch,Stefan Lupp,Lasse Koslowski,
17ceb358,Marco Fritz,Dominik Schaal,Marcel Pelgrim,Robert Kampka,
