fbref,name,transfermarkt,headshot_url,born,birth_place,height,nationality,position_main,foot,club,joined,contracted,mv,update
171b3c37,AJ DeLaGarza,105997,https://img.a.transfermarkt.technology/portrait/header/105997-1583575987.jpg?lm=1,1987-11-04,"Bryans Road, Maryland",1.75,Guam,Right-Back,right,New England Revolution,2021-01-07,,300000.0,2020-12-18
27c01749,Aaron Connolly,434207,https://img.a.transfermarkt.technology/portrait/header/434207-1494428641.jpg?lm=1,2000-01-28,Galway,1.75,Ireland,Centre-Forward,right,Brighton & Hove Albion,2019-07-01,2024-06-30,7000000.0,2020-10-13
4f974391,Aaron Cresswell,92571,https://img.a.transfermarkt.technology/portrait/header/92571-1467723523.jpg?lm=1,1989-12-15,Liverpool,1.7,England,Left-Back,left,West Ham United,2014-07-03,2023-06-30,6500000.0,2020-10-13
67669ce7,Aaron Escandell,284430,https://img.a.transfermarkt.technology/portrait/header/284430-1583309348.jpg?lm=1,1995-09-27,Carcaixent,1.85,Spain,Goalkeeper,right,Granada CF,2018-07-01,2023-06-30,1000000.0,2021-01-05
d86e3070,Aaron Herrera,401362,https://img.a.transfermarkt.technology/portrait/header/401362-1584017316.jpg?lm=1,1997-06-06,"Las Cruces, New Mexico",1.8,United States,Right-Back,right,Real Salt Lake City,2017-12-15,2023-12-31,1200000.0,2020-12-18
1780bb4a,Aaron Hickey,591949,https://img.a.transfermarkt.technology/portrait/header/591949-1604409912.jpg?lm=1,2002-06-10,Glasgow,1.75,Scotland,Left-Back,both,Bologna FC 1909,2020-09-24,2024-06-30,5000000.0,2020-12-29
5f9f0531,Aaron Hunt,4687,https://img.a.transfermarkt.technology/portrait/header/4687-1532340699.jpg?lm=1,1986-09-04,Goslar,1.83,Germany,Attacking Midfield,left,Hamburger SV,2015-08-31,2021-06-30,400000.0,2021-02-08
c08ff22d,Aaron Kovar,306743,https://img.a.transfermarkt.technology/portrait/header/306743-1520887345.jpg?lm=1,1993-08-14,"Seattle, Washington",1.78,United States,Right Winger,left,Retired,,,,
2ff964a0,Aaron Lennon,14221,https://img.a.transfermarkt.technology/portrait/header/14221-1469699807.jpg?lm=1,1987-04-16,Chapeltown,1.65,England,Right Winger,right,Kayserispor,2020-09-03,2022-06-30,1400000.0,2020-12-23
29ef0f49,Aaron Leya Iseka,289587,https://img.a.transfermarkt.technology/portrait/header/289587-1481904554.jpg?lm=1,1997-11-15,Brussel,1.82,Belgium,Centre-Forward,right,FC Metz,2020-10-30,2021-06-30,2000000.0,2021-01-07
46b89640,Aaron Long,271072,https://img.a.transfermarkt.technology/portrait/header/271072-1583689391.JPG?lm=1,1992-10-12,"Oak Hills, California",1.86,United States,Centre-Back,right,New York Red Bulls,2017-02-22,2021-12-31,3500000.0,2020-12-18
2f3e911a,Aaron Martin,251878,https://img.a.transfermarkt.technology/portrait/header/251878-1530299028.jpg?lm=1,1997-04-22,Montmeló,1.8,Spain,Left-Back,left,Celta de Vigo,2021-01-04,2021-06-30,3000000.0,2021-01-05
c1ea57e4,Aaron Maund,125695,https://img.a.transfermarkt.technology/portrait/header/125695-1561141794.jpg?lm=1,1990-09-19,"Dorchester, Massachusetts",1.85,Trinidad and Tobago,Defender,,Without Club,,,300000.0,2019-10-03
47b7e3af,Aaron Mooy,123951,https://img.a.transfermarkt.technology/portrait/header/123951-1410963340.jpg?lm=1,1990-09-15,Sydney,1.79,Australia,Central Midfield,right,Shanghai SIPG,2020-09-01,,8500000.0,2020-12-26
466fb2c5,Aaron Ramsdale,427568,https://img.a.transfermarkt.technology/portrait/header/427568-1485901746.jpg?lm=1,1998-05-14,Chesterton,1.91,England,Goalkeeper,right,Sheffield United,2020-08-19,2024-06-30,16000000.0,2020-10-13
ef619b0b,Aaron Ramsey,50057,https://img.a.transfermarkt.technology/portrait/header/50057-1518795716.jpg?lm=1,1990-12-26,Caerphilly,1.82,Wales,Central Midfield,both,Juventus FC,2019-07-01,2023-06-30,20000000.0,2020-12-29
9e525177,Aaron Wan Bissaka,477758,https://img.a.transfermarkt.technology/portrait/header/477758-1520609749.jpg?lm=1,1997-11-26,London,1.83,England,Right-Back,right,Manchester United,2019-07-01,2024-06-30,40000000.0,2020-10-13
bb300266,Aatif Chahechouhe,73480,https://img.a.transfermarkt.technology/portrait/header/73480-1612716292.png?lm=1,1986-07-02,Fontenay-aux-Roses,1.76,Morocco,Left Winger,right,Büyüksehir Belediye Erzurumspor,2021-01-14,2021-06-30,325000.0,2020-12-23
e09436fb,Abbas Huseynov,325666,https://img.a.transfermarkt.technology/portrait/header/325666-1591429356.png?lm=1,1995-06-13,Ganja,1.79,Azerbaijan,Right-Back,right,Qarabağ FK,2017-07-01,2021-06-30,450000.0,2020-12-30
4749367a,Abdallah Ndour,232854,https://img.a.transfermarkt.technology/portrait/header/232854-1586869011.jpg?lm=1,1993-12-20,Rufisque,1.86,Senegal,Left-Back,left,FC Sochaux-Montbéliard,2020-07-01,2023-06-30,600000.0,2020-11-11
fdbde523,Abdallah Sima,776798,https://img.a.transfermarkt.technology/portrait/header/776798-1606429924.png?lm=1,2001-06-17,,1.88,Senegal,Centre-Forward,right,SK Slavia Prague,2020-10-01,2023-06-30,8000000.0,2020-12-27
ab99e4a0,Abdallahi Mahmoud,615636,https://img.a.transfermarkt.technology/portrait/header/615636-1608324876.jpg?lm=1,2000-05-04,Nouakchott,1.87,Mauritania,Central Midfield,,Deportivo Alavés B,2018-08-08,2021-06-30,100000.0,2021-01-07
4830e0af,Abdelhamid Sabiri,340394,https://img.a.transfermarkt.technology/portrait/header/340394-1499183312.jpg?lm=1,1996-11-28,Goulmima,1.86,Germany,Attacking Midfield,right,Ascoli Calcio,2020-09-28,2022-06-30,1500000.0,2021-02-22
4a1abff3,Abdellah Zoubir,256973,https://img.a.transfermarkt.technology/portrait/header/256973-1591429710.png?lm=1,1991-12-05,Lille,1.8,France,Left Winger,right,Qarabağ FK,2018-07-01,2024-06-30,1200000.0,2020-12-30
d1b060e2,Abdon Prats,177452,https://img.a.transfermarkt.technology/portrait/header/177452-1583333130.jpg?lm=1,1992-12-07,Artà,1.81,Spain,Centre-Forward,left,RCD Mallorca,2017-07-04,2021-06-30,800000.0,2021-01-08
fc62f087,Abdou Diallo,229005,https://img.a.transfermarkt.technology/portrait/header/229005-1602849224.jpg?lm=1,1996-05-04,Tours,1.87,France,Centre-Back,left,Paris Saint-Germain,2019-07-16,2024-06-30,25000000.0,2020-10-15
07296190,Abdoul Camara,60588,https://img.a.transfermarkt.technology/portrait/header/60588-1483707712.jpg?lm=1,1990-02-20,Mamou,1.78,Guinea,Left Winger,left,Retired,,,,
32f3d97e,Abdoul Kader Bamba,560725,https://img.a.transfermarkt.technology/portrait/header/560725-1594410186.jpg?lm=1,1994-05-25,Sarcelles,1.76,France,Right Winger,right,FC Nantes,2019-07-01,2024-06-30,2000000.0,2020-10-15
f7288611,Abdoul Sissoko,83368,https://img.a.transfermarkt.technology/portrait/header/83368-1476046665.png?lm=1,1990-03-20,Troyes,1.83,Mali,Defensive Midfield,left,Kuwait SC,2019-07-30,,600000.0,2020-04-08
23c5db70,Abdoulay Diaby,148396,https://img.a.transfermarkt.technology/portrait/header/148396-1548511281.jpg?lm=1,1991-05-21,Nanterre,1.73,Mali,Right Winger,left,RSC Anderlecht,2021-01-18,2021-06-30,2800000.0,2021-01-05
1f54ed90,Abdoulaye Ba,106837,https://img.a.transfermarkt.technology/portrait/header/106837-1486733781.jpg?lm=1,1991-01-01,St. Louis,1.97,Senegal,Centre-Back,right,Moreirense FC,2021-01-07,2022-06-30,400000.0,2020-12-18
7fecbcdb,Abdoulaye Bamba,62351,https://img.a.transfermarkt.technology/portrait/header/62351-1588852339.jpg?lm=1,1990-04-25,Abidjan,1.82,Cote d'Ivoire,Right-Back,right,SCO Angers,2017-01-01,2023-06-30,2000000.0,2020-10-15
26383ea5,Abdoulaye Diallo,126681,https://img.a.transfermarkt.technology/portrait/header/126681-1572951251.jpg?lm=1,1992-03-30,Reims,1.91,Senegal,Goalkeeper,right,Nottingham Forest,2020-09-14,2021-06-30,350000.0,2020-10-15
02b29014,Abdoulaye Doucoure,127187,https://img.a.transfermarkt.technology/portrait/header/127187-1448382341.png?lm=1,1993-01-01,Meulan-en-Yvelines,1.83,France,Central Midfield,right,Everton FC,2020-09-08,2023-06-30,25000000.0,2020-10-13
f07a0fe5,Abdoulaye Seck,265383,https://img.a.transfermarkt.technology/portrait/header/265383-1535544925.jpg?lm=1,1992-06-04,Mbour,1.92,Senegal,Centre-Back,right,Royal Antwerp FC,2018-08-29,2023-06-30,1000000.0,2021-01-04
ef7cd87a,Abdoulaye Toure,181382,https://img.a.transfermarkt.technology/portrait/header/181382-1485420758.jpg?lm=1,1994-03-03,Nantes,1.88,France,Defensive Midfield,right,FC Nantes,2014-07-01,2022-06-30,6500000.0,2021-01-07
46907171,Abdul Majeed Waris,146805,https://img.a.transfermarkt.technology/portrait/header/146805-1449573579.jpg?lm=1,1991-09-19,Tamale,1.72,Ghana,Centre-Forward,right,RC Strasbourg Alsace,2020-07-01,2022-06-30,2500000.0,2020-10-15
ce5a24b9,Abdulkadir Parmak,276337,https://img.a.transfermarkt.technology/portrait/header/276337-1614452935.png?lm=1,1994-12-28,Trabzon,1.76,Turkey,Central Midfield,right,Trabzonspor,2016-07-15,2023-06-30,4000000.0,2020-12-23
6cbf8d0d,Abel Ruiz,340376,https://img.a.transfermarkt.technology/portrait/header/340376-1591774005.png?lm=1,2000-01-28,Almussafes,1.8,Spain,Centre-Forward,right,SC Braga,2020-07-01,2025-06-30,5000000.0,2021-01-28
85fbf1e4,Aboubacar Keita,638733,https://img.a.transfermarkt.technology/portrait/header/638733-1583509499.jpg?lm=1,2000-04-06,"New York City, New York",1.85,United States,Centre-Back,,Columbus Crew SC,2019-01-22,,1000000.0,2020-12-18
