fbref,name,transfermarkt,url
00242715,Moussa Niakhate,291200,/moussa-niakhate/profil/spieler/291200
00459419,Marko Arnautovic,41384,/marko-arnautovic/profil/spieler/41384
00528660,Filippo Costa,197743,/filippo-costa/profil/spieler/197743
00672021,Alan Patrick,104505,/alan-patrick/profil/spieler/104505
00844823,Niklas Moisander,5017,/niklas-moisander/profil/spieler/5017
01226327,Ryan Bertrand,40611,/ryan-bertrand/profil/spieler/40611
01464072,Aleksandar Lutovac,257473,/aleksandar-lutovac/profil/spieler/257473
293211e1,Aritz Aduriz,29124,/aritz-aduriz/profil/spieler/29124
04965583,Aleix Vidal,88490,/aleix-vidal/profil/spieler/88490
06050480,Ali Adnan Kadhim,261611,/ali-adnan/profil/spieler/261611
605873e1,Filip Bradaric,238486,/filip-bradaric/profil/spieler/238486
06983922,Victor Campuzano,394285,/victor-campuzano/profil/spieler/394285
07296190,Abdoul Camara,60588,/abdoul-camara/profil/spieler/60588
08452314,Alireza Jahanbakhsh,213268,/alireza-jahanbakhsh/profil/spieler/213268
08593525,Diadie Samassekou,315604,/diadie-samassekou/profil/spieler/315604
08990838,Denis Vavro,239962,/denis-vavro/profil/spieler/239962
09586899,Arjen Robben,4360,/arjen-robben/profil/spieler/4360
10072610,Claudio Bravo,40423,/claudio-bravo/profil/spieler/40423
10650926,Ismael Diomande,170495,/ismael-diomande/profil/spieler/170495
12851227,Lorenzo Dickmann,283060,/lorenzo-dickmann/profil/spieler/283060
15285503,Quentin Beunardeau,157484,/quentin-beunardeau/profil/spieler/157484
16380240,Mesut Ozil,35664,/mesut-ozil/profil/spieler/35664
17376543,Rafal Gikiewicz,78339,/rafal-gikiewicz/profil/spieler/78339
17611373,Rouwen Hennings,16311,/rouwen-hennings/profil/spieler/16311
17695062,Emile Smith Rowe,392765,/emile-smith-rowe/profil/spieler/392765
18736214,Angelo da Costa Junior,82693,/angelo-da-costa/profil/spieler/82693
19709006,Oscar Rodriguez Arnaiz,284884,/oscar-rodriguez/profil/spieler/284884
20094685,Maxime Lopez,290862,/maxime-lopez/profil/spieler/290862
21512407,Kieran Trippier,95810,/kieran-trippier/profil/spieler/95810
21519148,Mike Jensen,43077,/mike-jensen/profil/spieler/43077
22551915,Cuco Martina,91251,/cuco-martina/profil/spieler/91251
23135233,Richard Soumah,23976,/richard-soumah/profil/spieler/23976
23593121,Ganso,67920,/ganso/profil/spieler/67920
24228180,Bruno Petkovic,256358,/bruno-petkovic/profil/spieler/256358
24396398,Kadeem Harris,136501,/kadeem-harris/profil/spieler/136501
25444898,Julian Palmieri,45237,/julian-palmieri/profil/spieler/45237
26777636,Yacine Adli,395236,/yacine-adli/profil/spieler/395236
27669186,Ivan Hladik,155577,/ivan-hladik/profil/spieler/155577
28129034,Younn Zahary,593279,/younn-zahary/profil/spieler/593279
30263816,Arild Ostbo,73327,/arild-ostbo/profil/spieler/73327
30672832,Robert Mazan,181619,/robert-mazan/profil/spieler/181619
31114001,Berkay Ozcan,249952,/berkay-ozcan/profil/spieler/249952
32974271,Sergi Guardiola,256429,/sergi-guardiola/profil/spieler/256429
33887998,Edouard Mendy,442531,/edouard-mendy/profil/spieler/442531
35862524,Boban Nikolov,207625,/boban-nikolov/profil/spieler/207625
38126309,Aleix Febas,217144,/aleix-febas/profil/spieler/217144
38568467,Manuel Cabit,127075,/manuel-cabit/profil/spieler/127075
41521385,Iker Losada,632741,/iker-losada/profil/spieler/632741
42130443,Zack Steffen,221624,/zack-steffen/profil/spieler/221624
42276181,Kevin Gameiro,27389,/kevin-gameiro/profil/spieler/27389
43439614,Oliver Norwood,73547,/oliver-norwood/profil/spieler/73547
43458538,Joshua King,91059,/joshua-king/profil/spieler/91059
44781702,Ben Davies,192765,/ben-davies/profil/spieler/192765
45870256,Florian Mayer,331634,/florian-mayer/profil/spieler/331634
45963054,Jamie Vardy,197838,/jamie-vardy/profil/spieler/197838
46291841,John Bostock,58097,/john-bostock/profil/spieler/58097
463503e2,Marcin Kaminski,129358,/marcin-kaminski/profil/spieler/129358
46907171,Abdul Majeed Waris,146805,/majeed-waris/profil/spieler/146805
47064058,Oliver Baumann,55089,/oliver-baumann/profil/spieler/55089
47327321,Taylor Harwood Bellis,503977,/taylor-harwood-bellis/profil/spieler/503977
48035304,Nico Elvedi,192635,/nico-elvedi/profil/spieler/192635
48593154,Michael Olunga,263482,/michael-olunga/profil/spieler/263482
49000148,Mehdi Merghem,452877,/mehdi-merghem/profil/spieler/452877
49296448,Joshua Kimmich,161056,/joshua-kimmich/profil/spieler/161056
51450467,Elhadji Pape Diaw,410238,/elhadji-pape-diaw/profil/spieler/410238
51960957,Gokhan Tore,82130,/gokhan-tore/profil/spieler/82130
52105203,Scott Dann,62688,/scott-dann/profil/spieler/62688
52611641,Lucas Torreira,318077,/lucas-torreira/profil/spieler/318077
53283127,Jeremy Grimm,56294,/jeremy-grimm/profil/spieler/56294
54131505,Arnaud Lusamba,272631,/arnaud-lusamba/profil/spieler/272631
54507986,Antonis Aidonis,405674,/antonis-aidonis/profil/spieler/405674
55043155,Kristoffer Larsen,201139,/kristoffer-larsen/profil/spieler/201139
55305521,Tomas Brecka,265879,/tomas-brecka/profil/spieler/265879
55667895,Emiliano Moretti,5755,/emiliano-moretti/profil/spieler/5755
57200916,Julio Villalba,401717,/julio-villalba/profil/spieler/401717
57376761,Christian Cueva,95280,/christian-cueva/profil/spieler/95280
60359288,Javi Sanchez,340853,/javi-sanchez/profil/spieler/340853
61590953,Stanley NSoki,371141,/stanley-nsoki/profil/spieler/371141
61911828,Aleksandr Vasyutin,215213,/aleksandr-vasyutin/profil/spieler/215213
64679418,Sam Schreck,335100,/sam-schreck/profil/spieler/335100
66116290,Radamel Falcao,39152,/falcao/profil/spieler/39152
68829001,Gonzalo Castro,28947,/gonzalo-castro/profil/spieler/28947
70678132,Eduard Lowen,260655,/eduard-lowen/profil/spieler/260655
71115017,Felix Beijmo,322293,/felix-beijmo/profil/spieler/322293
73489527,Steven Defour,33866,/steven-defour/profil/spieler/33866
74419746,Samir Handanovic,28021,/samir-handanovic/profil/spieler/28021
74733221,Romain Salin,23974,/romain-salin/profil/spieler/23974
75229233,Fouad Bachirou,93663,/fouad-bachirou/profil/spieler/93663
75566759,Alexander Tettey,12384,/alexander-tettey/profil/spieler/12384
76806215,Yohann Pele,6270,/yohann-pele/profil/spieler/6270
78150923,Ivelin Popov,38340,/ivelin-popov/profil/spieler/38340
78952998,Philipp Ochs,207592,/philipp-ochs/profil/spieler/207592
79083382,Juan Jesus,121985,/juan-jesus/profil/spieler/121985
79135368,Faycal Fajr,174344,/faycal-fajr/profil/spieler/174344
79300479,Martin Odegaard,316264,/martin-odegaard/profil/spieler/316264
79443529,Dusan Vlahovic,357498,/dusan-vlahovic/profil/spieler/357498
79584585,Lassana Diarra,23914,/lassana-diarra/profil/spieler/23914
79685569,Jonathan Delaplace,149551,/jonathan-delaplace/profil/spieler/149551
81069528,Roberto Rosales,49500,/roberto-rosales/profil/spieler/49500
826313e2,Alexei Rios,78356,/aleksey-rios/profil/spieler/78356
82671804,Luiz Gustavo,10471,/luiz-gustavo/profil/spieler/10471
83300259,Owen Wijndal,339328,/owen-wijndal/profil/spieler/339328
84399660,Juanmi,126737,/juanmi/profil/spieler/126737
84594618,Filippo Romagna,256678,/filippo-romagna/profil/spieler/256678
85322440,Cafu,5937,/cafu/profil/spieler/5937
86574238,Kouadio Kone,624690,/kouadio-kone/profil/spieler/624690
86695068,Dennis Praet,129588,/dennis-praet/profil/spieler/129588
88050721,Unai Lopez,192009,/unai-lopez/profil/spieler/192009
88392398,Levan Kenia,30732,/levan-kenia/profil/spieler/30732
88615858,Bryan Pele,170938,/bryan-pele/profil/spieler/170938
88895312,Daniel Bessa,140757,/daniel-bessa/profil/spieler/140757
89976232,Armando Izzo,32113,/armando-izzo/profil/spieler/32113
90339309,Jerry St Juste,288253,/jeremiah-st-juste/profil/spieler/288253
91748070,Teden Mengi,548470,/teden-mengi/profil/spieler/548470
92948149,Lukas Klunter,282577,/lukas-klunter/profil/spieler/282577
92948398,Leo Stulac,171159,/leo-stulac/profil/spieler/171159
93390969,Marcello Gazzola,57643,/marcello-gazzola/profil/spieler/57643
94230890,Paolo Gozzi Iweru,487333,/paolo-gozzi/profil/spieler/487333
94816803,Riccardo Sottil,386455,/riccardo-sottil/profil/spieler/386455
95981861,Antoine Valerio,707317,/antoine-valerio/profil/spieler/707317
96640846,Samir Ujkani,42744,/samir-ujkani/profil/spieler/42744
96960855,Francesco Cassata,301236,/francesco-cassata/profil/spieler/301236
97572117,Allan Nyom,111508,/allan-nyom/profil/spieler/111508
97852360,Fernando Pacheco,172015,/fernando-pacheco/profil/spieler/172015
99813635,Adam Lallana,43530,/adam-lallana/profil/spieler/43530
773968e4,Hendrik Weydandt,330223,/hendrik-weydandt/profil/spieler/330223
083525e5,Papy Djilobodji,136610,/papy-djilobodji/profil/spieler/136610
526541e5,Hordur Magnusson,130353,/hordur-magnusson/profil/spieler/130353
576575e5,Ivan Lopez,203778,/ivan-lopez/profil/spieler/203778
767212e6,Julien Faussurier,78917,/julien-faussurier/profil/spieler/78917
482145e9,Emanuele Ndoj,287717,/emanuele-ndoj/profil/spieler/287717
15937e17,Eray Comert,298583,/eray-comert/profil/spieler/298583
05816e19,Juan Ferney Otero,332305,/juan-ferney-otero/profil/spieler/332305
4611e028,Erick Pulgar,215616,/erick-pulgar/profil/spieler/215616
19053e31,Sofiane Diop,569389,/sofiane-diop/profil/spieler/569389
5314e067,Sofiane Alakouch,434358,/sofiane-alakouch/profil/spieler/434358
57760e66,Marcus Edwards,314367,/marcus-edwards/profil/spieler/314367
58640e66,Ismail Koybasi,74641,/ismail-koybasi/profil/spieler/74641
88062e83,Joseph Paintsil,534435,/joseph-paintsil/profil/spieler/534435
30941e96,Angelino,277179,/angelino/profil/spieler/277179
22919e97,Sargis Adamyan,125614,/sargis-adamyan/profil/spieler/125614
861e0116,Kostas Stafylidis,148967,/konstantinos-stafylidis/profil/spieler/148967
3799e138,Everton Luiz,75076,/everton-luiz/profil/spieler/75076
6186e141,Ali Ghorbani,229021,/ali-ghorbani/profil/spieler/229021
9939e168,Jon Moncayola,552425,/jon-moncayola/profil/spieler/552425
4601e194,Jordi Alba,69751,/jordi-alba/profil/spieler/69751
8794e251,Adrien Rabiot,182913,/adrien-rabiot/profil/spieler/182913
0000acda,Marco Benassi,201040,/marco-benassi/profil/spieler/201040
000b3da6,Manuel Iturra,40428,/manuel-iturra/profil/spieler/40428
00242b75,Leandro Barreiro Martins,357233,/leandro-barreiro/profil/spieler/357233
003a5c72,Mikel San Jose,52469,/mikel-san-jose/profil/spieler/52469
0049d544,Yassine El Ghanassy,90368,/yassine-el-ghanassy/profil/spieler/90368
005c0807,Zinedine Ferhat,232895,/zinedine-ferhat/profil/spieler/232895
005ca692,Maycon,421935,/maycon/profil/spieler/421935
