fbref,fbref_name,country,fcpython_name,transfermarkt,transfermarkt_name,transfermarkt_link,football_data
d20821dd,LASK,Austria,LASK,413,LASK,lask-linz,
912e4c40,Rapid Wien,Austria,Rapid Vienna,170,Rapid Vienna,sk-rapid-wien,
50f2a074,Red Bull Salzburg,Austria,Red Bull Salzburg,409,Red Bull Salzburg,red-bull-salzburg,
426658a6,Wolfsberger AC,Austria,Wolfsberger AC,4441,Wolfsberger AC,wolfsberger-ac,
44b65410,Qarabağ Ağdam,Azerbaijan,Qarabağ Ağdam,10625,Qarabağ Ağdam,qarabag-agdam,
b983b638,BATE Borisov,Belarus,BATE Borisov,713,BATE Borisov,bate-borisov,
08ad393c,Anderlecht,Belgium,RSC Anderlecht,58,RSC Anderlecht,rsc-anderlecht,
f1e6c5f1,Club Brugge,Belgium,Club Brugge KV,2282,Club Brugge KV,fc-brugge,
1e972a99,Genk,Belgium,KRC Genk,1184,KRC Genk,krc-genk,
51e5a603,Gent,Belgium,KAA Gent,157,KAA Gent,kaa-gent,
33c6b26e,Standard Liège,Belgium,Standard Liège,3057,Standard Liège,standard-luttich,
488c6ba1,Ludogorets Razgrad,Bulgaria,PFK Ludogorets Razgrad,31614,PFK Ludogorets Razgrad,pfk-ludogorets-razgrad,
edd0d381,Dinamo Zagreb,Croatia,GNK Dinamo Zagreb,419,GNK Dinamo Zagreb,gnk-dinamo-zagreb,
01689b1a,AÉK Lárnaka,Cyprus,AEK Larnaca,2156,AEK Larnaca,aek-larnaka,
eab315a6,APOEL,Cyprus,APOEL Nicosia,2784,APOEL Nicosia,apoel-nikosia,
8dff1828,Apollon,Cyprus,Apollon Limassol,429,Apollon Limassol,apollon-limassol,
8424bb18,Jablonec,Czech Republic,FK Jablonec,1322,FK Jablonec,fk-jablonec,
111cbfb1,Slavia Prague,Czech Republic,SK Slavia Prague,62,SK Slavia Prague,sk-slavia-prag,
02cd81bf,Viktoria Plzeň,Czech Republic,FC Viktoria Plzen,941,FC Viktoria Plzen,fc-viktoria-pilsen,
