id,name,headshot_url,full_name,born,birth_place,height,nationality,position,position_main,position_alt1,position_alt2,foot,club,joined,contracted,mv,update
291200.0,moussa-niakhate,https://img.a.transfermarkt.technology/portrait/header/291200-1532595272.jpg?lm=1,,1996-03-08,Roubaix,1.9,France,Defender - Centre-Back,Centre-Back,Left-Back,,left,1.FSV Mainz 05,2018-07-07,2023-06-30,7500000.0,2021-02-10
41384.0,marko-arnautovic,https://img.a.transfermarkt.technology/portrait/header/41384-1464945481.jpg?lm=1,Marko Arnautović,1989-04-19,Wien,1.89,Austria,attack - Centre-Forward,Centre-Forward,Right Winger,Left Winger,both,Shanghai SIPG,2019-07-08,2022-12-31,10000000.0,2020-12-26
197743.0,filippo-costa,https://img.a.transfermarkt.technology/portrait/header/197743-1535017147.jpg?lm=1,,1995-05-21,Noventa Vicentina,1.75,Italy,Defender - Left-Back,Left-Back,Left Midfield,,left,Virtus Entella,2020-09-18,2021-06-30,400000.0,2021-02-22
104505.0,alan-patrick,https://img.a.transfermarkt.technology/portrait/header/104505-1569591279.png?lm=1,Alan Patrick Lourenço,1991-05-13,São Paulo,1.77,Brazil,midfield - Central Midfield,Central Midfield,Attacking Midfield,Right Winger,right,Shakhtar Donetsk,2011-07-01,2022-12-31,8000000.0,2021-01-14
5017.0,niklas-moisander,https://img.a.transfermarkt.technology/portrait/header/5017-1535124028.jpg?lm=1,Niklas Kristian Moisander,1985-09-29,Turku,1.83,Finland,Defender - Centre-Back,Centre-Back,,,left,SV Werder Bremen,2016-07-09,2021-06-30,700000.0,2021-02-10
40611.0,ryan-bertrand,https://img.a.transfermarkt.technology/portrait/header/40611-1518794490.jpg?lm=1,Ryan Dominic Bertrand,1989-08-05,London,1.79,England,Defender - Left-Back,Left-Back,Left Midfield,,left,Southampton FC,2015-02-02,2021-06-30,10500000.0,2020-10-13
257473.0,aleksandar-lutovac,https://img.a.transfermarkt.technology/portrait/header/257473-1559638075.jpg?lm=1,Александар Лутовац,1997-06-28,Belgrad,1.75,Serbia,attack - Right Winger,Right Winger,Left Winger,Right-Back,both,FK Partizan Belgrade,2019-07-01,2023-06-30,700000.0,2020-12-22
29124.0,aritz-aduriz,https://img.a.transfermarkt.technology/portrait/header/29124-1447151808.jpg?lm=1,Aritz Aduriz Zubeldia,1981-02-11,Donostia-San Sebastián,1.81,Spain,attack - Centre-Forward,Centre-Forward,,,right,Retired,,,,
88490.0,aleix-vidal,https://img.a.transfermarkt.technology/portrait/header/88490-1454080555.jpg?lm=1,Aleix Vidal Parreu,1989-08-21,Valls,1.77,Spain,Defender - Right-Back,Right-Back,Right Winger,Right Midfield,right,Sevilla FC,2018-08-04,2022-06-30,2000000.0,2021-01-05
261611.0,ali-adnan,https://img.a.transfermarkt.technology/portrait/header/261611-1584550624.jpg?lm=1,علي عدنان كاظم التميمي / Ali Adnan Kadhim Al Tameemi,1993-12-19,Baghdad,1.85,Iraq,Defender - Left-Back,Left-Back,Left Midfield,,left,Vancouver Whitecaps FC,2019-07-09,2021-12-31,1500000.0,2020-12-18
238486.0,filip-bradaric,https://img.a.transfermarkt.technology/portrait/header/238486-1532949045.jpg?lm=1,Filip Bradarić,1992-01-11,Split,1.86,Croatia,midfield - Defensive Midfield,Defensive Midfield,Central Midfield,,right,Al-Ain,2020-10-24,2021-06-30,3500000.0,2021-01-31
394285.0,victor-campuzano,https://img.a.transfermarkt.technology/portrait/header/394285-1583506858.jpg?lm=1,Víctor Campuzano Bonilla,1997-05-31,Barcelona,1.74,Spain,attack - Centre-Forward,Centre-Forward,Left Winger,Right Winger,left,Sporting Gijón,2021-02-01,2025-06-30,800000.0,2021-01-08
60588.0,abdoul-camara,https://img.a.transfermarkt.technology/portrait/header/60588-1483707712.jpg?lm=1,Abdoul Razzagui Camara,1990-02-20,Mamou,1.78,Guinea,attack - Left Winger,Left Winger,Right Winger,Left Midfield,left,Retired,,,,
213268.0,alireza-jahanbakhsh,https://img.a.transfermarkt.technology/portrait/header/213268-1523373433.jpg?lm=1,علیرضا جهانبخش,1993-08-11,Jirandeh,1.8,Iran,attack - Right Winger,Right Winger,Left Winger,,right,Brighton & Hove Albion,2018-07-25,2023-06-30,5000000.0,2020-10-13
315604.0,diadie-samassekou,https://img.a.transfermarkt.technology/portrait/header/315604-1535447127.jpg?lm=1,,1996-01-11,Bamako,1.77,Mali,midfield - Defensive Midfield,Defensive Midfield,Central Midfield,,right,TSG 1899 Hoffenheim,2019-08-15,2024-06-30,14000000.0,2021-02-10
239962.0,denis-vavro,https://img.a.transfermarkt.technology/portrait/header/239962-1547804350.jpg?lm=1,,1996-04-10,Partizánske,1.89,Slovakia,Defender - Centre-Back,Centre-Back,,,right,SD Huesca,2021-02-01,2021-06-30,4000000.0,2020-12-29
4360.0,arjen-robben,https://img.a.transfermarkt.technology/portrait/header/4360-1540568808.jpg?lm=1,,1984-01-23,Bedum,1.8,Netherlands,attack - Right Winger,Right Winger,Right Midfield,Left Winger,left,FC Groningen,2020-07-01,2021-06-30,600000.0,2021-01-06
40423.0,claudio-bravo,https://img.a.transfermarkt.technology/portrait/header/40423-1471339256.jpg?lm=1,Claudio Andrés Bravo Muñoz,1983-04-13,Viluco,1.84,Chile,Goalkeeper,Goalkeeper,,,right,Real Betis Balompié,2020-08-30,2022-06-30,1000000.0,2021-01-05
170495.0,ismael-diomande,https://img.a.transfermarkt.technology/portrait/header/170495-1566832578.jpg?lm=1,Ismaël Tiémoko Diomandé,1992-08-28,Abidjan,1.83,Cote d'Ivoire,midfield - Defensive Midfield,Defensive Midfield,Central Midfield,Centre-Back,right,Konyaspor,2021-01-13,2022-06-30,450000.0,2020-12-23
283060.0,lorenzo-dickmann,https://img.a.transfermarkt.technology/portrait/header/283060-1535017076.jpg?lm=1,Lorenzo Maria Dickmann,1996-09-24,Milano,1.77,Italy,midfield - Right Midfield,Right Midfield,Right-Back,Left-Back,right,SPAL,2019-07-01,2022-06-30,1800000.0,2021-02-22
157484.0,quentin-beunardeau,https://img.a.transfermarkt.technology/portrait/header/157484-1569357969.jpg?lm=1,,1994-02-27,Le Mans,1.84,France,Goalkeeper,Goalkeeper,,,right,Gil Vicente FC,2021-01-02,2021-06-30,500000.0,2021-01-28
35664.0,mesut-ozil,https://img.a.transfermarkt.technology/portrait/header/35664-1483519286.jpg?lm=1,,1988-10-15,Gelsenkirchen,1.8,Germany,midfield - Attacking Midfield,Attacking Midfield,Left Winger,Right Winger,left,Fenerbahce SK,2021-01-25,2024-06-30,5000000.0,2020-12-17
